%eval_id interface p1             p2             p3             p4             p5             p6             p7             p8             p9             p10            p11            p12            p13            p14            p15            activation     energy         maxamp         
44       INTERFACE  -0.7349249805  6.517727365    -1.056565574   0.4560435344   5.285573964    -3.542856935   6.100394187    -6.509077786   -1.444237104   -5.055307249   6.500904166    -7.072479694   0.4475570949   -5.280778272   -1.939040853   -0.6306273341  1.126196399e-05 6.975669124    
45       INTERFACE  -0.7219196475  3.757050464    4.661958915    -0.2087191016  -3.862553472   0.07822491116  1.070310799    5.756254121    -4.456094881   7.202534457    6.774646479    6.640065286    -4.440374978   4.113049939    2.878464898    -0.6178104877  8.597233748e-06 6.283776018    
46       INTERFACE  -0.629264155   -2.329743167   3.212594346    4.844068208    -5.33961312    -6.804789884   5.05945576     -2.176224978   2.249626987    -6.143192869   5.348890937    2.873974042    2.64957139     -5.779484873   1.017902684    -0.4292447865  9.563478496e-06 6.683150591    
47       INTERFACE  -0.5309593156  -3.144552354   -1.712249547   -6.588669475   2.162619508    -2.279241984   -4.196127409   4.157151616    4.326449464    5.477099208    -0.5269449707  -0.4407648407  -0.958746955   -6.648033277   3.201991064    -0.6428630948  7.276471196e-06 6.166722073    
48       INTERFACE  -0.383333947   6.277524037    0.2170550929   1.650663074    0.5810612478   -7.060033211   6.961934895    -2.165361054   -2.538569854   3.783440397    -3.632093603   -1.465041651   -0.1270270337  -5.115628118   1.388955218    -0.441937387   7.549629822e-06 7.063588301    
49       INTERFACE  -0.3831541133  0.4521566643   -7.121954493   4.356118313    5.538711302    1.993091164    0.2983195511   0.09948889846  -4.38002158    4.335902343    5.68909218     -6.19349573    -7.350941696   -1.67127154    -7.306229866   -0.7261871099  1.1348783e-05  6.623179909    
50       INTERFACE  -0.08298588106 -0.5191248995  7.258934299    -3.673380826   -0.4558675424  -6.649500285   7.109789012    5.063860688    1.830353085    -5.346577839   2.292393749    3.32540043     4.725317546    -0.2697092936  -0.8643097353  -0.3700405359  8.880062969e-06 7.508537317    
51       INTERFACE  0.009534872374 -0.1249771834  -6.374289568   2.176257269    5.775847616    4.991285155    -0.1131014445  -6.247666028   -6.873093971   -6.732201094   1.000559059    -6.199951486   1.89214803     -7.398105834   -5.84065742    -0.8772790432  1.118381484e-05 7.654498367    
52       INTERFACE  0.03180266243  -0.8690567074  5.410551877    -2.645101887   -1.205720074   1.556623869    -6.620967371   -1.937284914   5.230116247    -0.03241844593 -6.228862674   7.279419824    2.408115079    2.076779445    -1.394258805   -0.3143790662  7.88791468e-06 7.088186192    
53       INTERFACE  0.209701307    -2.972319639   -6.986799454   -0.1196039364  2.916265996    -6.2209701     2.118807593    2.965680214    -1.367776342   -6.481607649   3.596160168    -4.142909428   4.838403467    3.738399619    -1.562266314   -0.4552081823  8.150275423e-06 6.394872298    
54       INTERFACE  0.3573192367   3.924717773    6.532714599    -2.302288907   2.242055195    -1.326741911   -3.428198912   -3.918036174   -3.138272227   -0.93006981    -2.504587118   3.846508281    5.019581594    -7.261729629   5.363118457    -0.6487900019  8.477630061e-06 7.416485282    
55       INTERFACE  0.382634107    -1.305437376   3.909605062    -7.436742643   -6.408434584   3.283169831    -1.980271777   0.9798533695   -4.956366845   4.728533068    -6.004952655   2.571895386    4.937896965    3.310289842    4.492305646    -0.5918855071  9.873865283e-06 7.46824123     
56       INTERFACE  0.3909166357   -7.408354087   1.137998278    -1.669530465   1.602319253    -4.979382356   -5.968776962   1.109942491    3.419203558    -7.200835277   7.325206802    6.45925611     -0.7428243865  6.567430417    -4.661873007   -0.7442849874  1.246841417e-05 7.613913239    
57       INTERFACE  0.3928710161   -2.8281315     -7.369318041   -5.142715523   0.6293479042   -6.00317412    -5.816961298   -5.851957483   -5.704378878   -3.062384906   -4.827563773   -1.664744978   2.238097114    0.7747012811   -0.4919167948  -0.4144220054  5.120329348e-06 5.033611488    
58       INTERFACE  0.5871626726   -0.6190193459  0.3766146781   -4.107900419   -5.037275512   4.05294498     1.246565787    -2.132867963   -4.811773595   -4.041382152   2.903701943    -4.011456166   5.255290476    -4.646715195   -4.545998539   -0.3711410165  6.324824832e-06 6.476047248    
59       INTERFACE  1.12923168     2.010555006    2.527547854    -4.02029466    -1.07783955    -4.007575555   6.886982757    5.301332822    4.615738195    -2.087442379   2.639080929    7.139130444    4.037127191    2.725578328    -2.870550677   -0.4686382711  7.102274301e-06 5.579842795    
60       INTERFACE  1.271292366    -2.802692494   -0.3193767428  2.397002799    6.873564776    -2.043529134   -0.1117120532  -0.7395366757  -0.7911951622  0.5151939825   0.02826223035  -7.290636103   1.815242497    -5.579589746   -7.188741937   -0.7139930725  7.029336856e-06 7.746467988    
61       INTERFACE  1.287910293    0.6523775464   3.19074957     -5.582940608   -5.323576472   -0.585327399   -5.409659044   4.550969224    -4.751615362   7.327483208    -6.244132001   -6.764481165   -0.1429808059  -6.213832804   3.447970585    -0.5143857002  1.105951488e-05 8.612551035    
